"subject","stimuli","item","list","speaker_group","response_identification","response_certainty","correct","listener_group","geq_ger_each","geq_viet_each","MISS_hybr_mean","MISS_alt_mean"
13422590,"6_G_Fem_B.mp3",6,"list_3","monocultural german","vietdeutsch",3,0,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"41_VG_Fem_C.mp3",41,"list_3","bicultural viet-german","vietdeutsch",4,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"49_G_Fem_D.mp3",49,"list_3","monocultural german","vietdeutsch",4,0,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"3_VG_Male_A.mp3",3,"list_3","bicultural viet-german","vietdeutsch",4,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"57_VG_Fem_D.mp3",57,"list_3","bicultural viet-german","vietdeutsch",2,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"14_G_Male_A.mp3",14,"list_3","monocultural german","deutsch",2,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"22_VG_Fem_A.mp3",22,"list_3","bicultural viet-german","vietdeutsch",2,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"53_G_Male_D.mp3",53,"list_3","monocultural german","deutsch",2,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"52_G_Fem_A.mp3",52,"list_3","monocultural german","vietdeutsch",2,0,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"15_VG_Fem_D.mp3",15,"list_3","bicultural viet-german","vietdeutsch",4,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"56_G_Male_A.mp3",56,"list_3","monocultural german","vietdeutsch",2,0,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"10_G_Male_C.mp3",10,"list_3","monocultural german","vietdeutsch",3,0,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"7_G_Fem_A.mp3",7,"list_3","monocultural german","vietdeutsch",3,0,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"37_G_Male_C.mp3",37,"list_3","monocultural german","vietdeutsch",3,0,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"42_VG_Fem_B.mp3",42,"list_3","bicultural viet-german","vietdeutsch",4,1,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"43_VG_Fem_A.mp3",43,"list_3","bicultural viet-german","deutsch",3,0,"bicultural viet-german",3,3.4,88,86.4285714285714
13422590,"11_G_Male_B.mp3",11,"list_3","monocultural german","deutsch",3,1,"bicultural viet-german",3,3.4,88,86.4285714285714
